conv_id,#_questions
1,0
2,1
3,2
4,5
5,0
6,0
7,3
8,1
9,0
10,1
11,0
12,10
13,0
14,1
15,5
16,5
17,0
18,0
19,3
20,1
21,0
22,0
23,1
24,2
25,0
26,1
27,0
28,2
29,1
30,1
31,2
32,0
33,2
34,0
35,2
36,0
37,2
38,4
39,18
40,0
41,2
42,1
43,0
44,3
45,0
46,18
47,0
48,4
49,1
50,1
